# RA        Dec       Flux_182  Flux_cat  Alpha     Freq      Catalog    
83.63     22.01     1321.95   1256.0    -0.39     160.0     Culgoora   
201.38    -43.0     1181.96   1104.0    -0.52     160.0     Culgoora   
187.71    12.39     692.75    566.0     -1.54     160.0     Culgoora   
252.78    4.99      439.57    378.0     -1.15     160.0     Culgoora   
260.12    -0.98     294.33    276.0     -0.49     160.0     Culgoora   
139.53    -12.1     281.47    243.0     -1.12     160.0     Culgoora   
69.27     29.69     271.83    247.0     -0.73     160.0     Culgoora   
266.44    -29.02    121.06    109.0     -0.8      160.0     Culgoora   
187.27    2.04      110.5     102.0     -0.61     160.0     Culgoora   
303.62    23.58     108.38    99.0      -0.69     160.0     Culgoora   
125.68    -42.99    104.0     198.0     -0.8      408.0     MRC        
293.99    -46.34    101.07    91.6      -0.75     160.0     Culgoora   
265.08    -30.96    98.93     97.0      -0.15     160.0     Culgoora   
258.66    -38.51    83.83     78.2      -0.53     160.0     Culgoora   
226.25    26.01     83.17     74.0      -0.89     160.0     Culgoora   
96.8      -5.89     80.72     74.9      -0.57     160.0     Culgoora   
17.22     13.32     76.98     71.9      -0.52     160.0     Culgoora   
229.19    7.03      73.58     65.9      -0.84     160.0     Culgoora   
320.94    25.07     71.29     64.1      -0.81     160.0     Culgoora   
24.44     33.15     70.88     67.7      -0.35     160.0     Culgoora   
287.77    9.1       69.5      74.7      0.55      160.0     Culgoora   
214.78    6.47      68.65     63.2      -0.63     160.0     Culgoora   
262.67    -21.49    65.44     58.0      -0.92     160.0     Culgoora   
333.61    -17.03    64.41     63.4      -1.18     180.0     MWACS      
184.85    5.83      62.8      56.1      -0.86     160.0     Culgoora   
240.61    1.96      62.3      59.5      -0.35     160.0     Culgoora   
80.75     -36.46    62.1      61.59     -0.61     180.0     MWACS      
283.14    0.72      59.09     63.6      0.56      160.0     Culgoora   
286.89    7.14      57.9      57.9      0.0       160.0     Culgoora   
232.56    -42.53    55.28     50.1      -0.75     160.0     Culgoora   
59.73     10.43     55.15     49.2      -0.87     160.0     Culgoora   
282.34    -0.93     52.56     51.4      -0.17     160.0     Culgoora   
197.91    -22.27    51.72     49.2      -0.38     160.0     Culgoora   
146.94    7.42      50.01     45.2      -0.77     160.0     Culgoora   
354.61    26.99     47.14     43.0      -0.7      160.0     Culgoora   
150.45    28.78     44.03     39.8      -0.77     160.0     Culgoora   
272.87    -19.43    43.06     43.8      0.13      160.0     Culgoora   
96.6      -53.69    42.05     41.47     -1.04     180.0     MWACS      
71.16     -28.17    41.03     40.58     -0.82     180.0     MWACS      
258.53    -38.19    40.09     41.1      0.19      160.0     Culgoora   
47.5      17.09     39.81     36.6      -0.64     160.0     Culgoora   
286.01    5.45      38.65     37.9      -0.15     160.0     Culgoora   
349.14    4.08      38.46     34.4      -0.85     160.0     Culgoora   
335.96    -2.12     38.04     33.8      -0.9      160.0     Culgoora   
135.45    -25.93    37.48     34.1      -0.72     160.0     Culgoora   
24.1      20.91     37.08     32.1      -1.1      160.0     Culgoora   
281.61    -2.99     35.57     34.6      -0.21     160.0     Culgoora   
93.46     26.08     34.82     30.3      -1.06     160.0     Culgoora   
241.19    1.29      34.74     31.2      -0.82     160.0     Culgoora   
193.65    -12.56    34.33     31.9      -0.56     160.0     Culgoora   
298.06    2.51      33.98     31.2      -0.65     160.0     Culgoora   
280.37    -1.88     33.91     29.9      -0.96     160.0     Culgoora   
9.58      -2.11     33.06     30.6      -0.59     160.0     Culgoora   
227.75    7.86      32.44     28.9      -0.88     160.0     Culgoora   
308.95    -34.91    32.01     29.7      -0.57     160.0     Culgoora   
75.74     25.29     31.64     28.3      -0.85     160.0     Culgoora   
258.31    -25.04    31.63     31.3      -0.08     160.0     Culgoora   
152.0     7.49      31.2      29.3      -0.48     160.0     Culgoora   
176.36    31.56     31.15     27.9      -0.84     160.0     Culgoora   
279.61    17.2      30.85     28.4      -0.63     160.0     Culgoora   
44.43     6.04      30.78     27.6      -0.83     160.0     Culgoora   
329.28    -69.69    30.64     58.34     -0.8      408.0     MRC        
209.75    -41.88    30.19     28.8      -0.36     160.0     Culgoora   
243.62    -60.96    29.9      56.92     -0.8      408.0     MRC        
11.6      -42.13    29.72     29.72     -0.8      182.44    FHD        
259.49    -37.44    29.3      31.0      0.43      160.0     Culgoora   
