Tile_i	Tile_name	Cable_length	cable_vf	reflection_flag
0	11	90	0.81	1
1	12	90	0.81	1
2	13	150	0.81	1
3	14	150	0.81	1
4	15	150	0.81	1
5	16	90	0.81	1
6	17	150	0.81	1
7	18	90	0.81	1
8	21	90	0.81	1
9	22	90	0.81	1
10	23	90	0.81	1
11	24	150	0.81	1
12	25	150	0.81	1
13	26	150	0.81	1
14	27	150	0.81	1
15	28	90	0.81	1
16	31	90	0.81	1
17	32	90	0.81	1
18	33	90	0.81	1
19	34	150	0.81	1
20	35	150	0.81	1
21	36	150	0.81	1
22	37	150	0.81	1
23	38	150	0.81	1
24	41	150	0.81	1
25	42	150	0.81	1
26	43	150	0.81	1
27	44	150	0.81	1
28	45	150	0.81	1
29	46	90	0.81	1
30	47	150	0.81	1
31	48	90	0.81	1
32	51	90	0.81	1
33	52	400	0.85	1
34	53	90	0.81	1
35	54	320	0.85	1
36	55	524	0.85	1
37	56	230	0.81	1
38	57	230	0.81	1
39	58	90	0.81	1
40	61	150	0.81	1
41	62	150	0.81	1
42	63	150	0.81	1
43	64	150	0.81	1
44	65	230	0.81	1
45	66	150	0.81	1
46	67	150	0.81	1
47	68	150	0.81	1
48	71	230	0.81	1
49	72	230	0.81	1
50	73	524	0.85	1
51	74	230	0.81	1
52	75	230	0.81	1
53	76	230	0.81	1
54	77	90	0.81	1
55	78	150	0.81	1
56	81	230	0.81	1
57	82	150	0.81	1
58	83	230	0.81	1
59	84	230	0.81	1
60	85	230	0.81	1
61	86	230	0.81	1
62	87	230	0.81	1
63	88	90	0.81	1
64	91	320	0.85	1
65	92	230	0.81	1
66	93	150	0.81	1
67	94	230	0.81	1
68	95	230	0.81	1
69	96	230	0.81	1
70	97	230	0.81	1
71	98	230	0.81	1
72	101	400	0.85	1
73	102	400	0.85	1
74	103	150	0.81	1
75	104	524	0.85	1
76	105	230	0.81	1
77	106	150	0.81	1
78	107	524	0.85	1
79	108	524	0.85	1
80	111	524	0.85	1
81	112	400	0.85	1
82	113	524	0.85	1
83	114	400	0.85	1
84	115	524	0.85	1
85	116	524	0.85	1
86	117	524	0.85	1
87	118	524	0.85	1
88	121	524	0.85	1
89	122	524	0.85	1
90	123	400	0.85	1
91	124	320	0.85	1
92	125	524	0.85	1
93	126	524	0.85	1
94	127	400	0.85	1
95	128	524	0.85	1
96	131	524	0.85	1
97	132	524	0.85	1
98	133	524	0.85	1
99	134	400	0.85	1
100	135	320	0.85	1
101	136	400	0.85	1
102	137	320	0.85	1
103	138	524	0.85	1
104	141	524	0.85	1
105	142	524	0.85	1
106	143	320	0.85	1
107	144	524	0.85	1
108	145	524	0.85	1
109	146	320	0.85	1
110	147	400	0.85	1
111	148	400	0.85	1
112	151	524	0.85	1
113	152	230	0.81	1
114	153	524	0.85	1
115	154	524	0.85	1
116	155	400	0.85	1
117	156	400	0.85	1
118	157	400	0.85	1
119	158	400	0.85	1
120	161	90	0.81	1
121	162	230	0.81	1
122	163	524	0.85	1
123	164	524	0.85	1
124	165	524	0.85	1
125	166	400	0.85	1
126	167	400	0.85	1
127	168	320	0.85	1
