Tile_i	Tile_name	Cable_length	cable_vf	reflection_flag	Tile_mode_X	Tile_amp_X	Tile_phase_X	Tile_mode_Y	Tile_amp_Y	Tile_phase_Y	
          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	          NaN	
      0.00000	      11.0000	      90.0000	     0.810000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      1.00000	      12.0000	      90.0000	     0.810000	      1.00000	      38.4522	    0.0195899	      2.80717	      38.4022	    0.0254795	      2.73718	
      2.00000	      13.0000	      150.000	     0.810000	      1.00000	      38.4522	    0.0309301	      1.24670	      37.6522	    0.0221513	     0.657471	
      3.00000	      14.0000	      150.000	     0.810000	      1.00000	      38.4022	    0.0256439	      2.63032	      38.4522	    0.0272315	      1.82917	
      4.00000	      15.0000	      150.000	     0.810000	      1.00000	      38.4022	    0.0223646	   -0.0223609	      38.4522	   0.00695795	  -0.00695784	
      5.00000	      16.0000	      90.0000	     0.810000	      1.00000	      38.4022	    0.0217854	      2.23868	      38.4022	    0.0186227	      3.09577	
      6.00000	      17.0000	      150.000	     0.810000	      1.00000	      38.4022	    0.0134923	   -0.0134915	      38.4022	    0.0186032	   -0.0186010	
      7.00000	      18.0000	      90.0000	     0.810000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      8.00000	      21.0000	      90.0000	     0.810000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      9.00000	      22.0000	      90.0000	     0.810000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      10.0000	      23.0000	      90.0000	     0.810000	      1.00000	      38.4522	    0.0280585	      1.00600	      38.4522	    0.0292420	      1.27926	
      11.0000	      24.0000	      150.000	     0.810000	      1.00000	      38.4522	    0.0320110	      2.25715	      38.4522	    0.0335762	     -3.12699	
      12.0000	      25.0000	      150.000	     0.810000	      1.00000	      38.4522	    0.0282824	      1.85013	      38.5022	    0.0198108	    -0.285390	
      13.0000	      26.0000	      150.000	     0.810000	      1.00000	      38.4022	    0.0290338	     -2.91847	      38.4022	    0.0266712	     -2.37204	
      14.0000	      27.0000	      150.000	     0.810000	      1.00000	      38.4022	    0.0283141	   -0.0283066	      38.4022	    0.0191558	   -0.0191535	
      15.0000	      28.0000	      90.0000	     0.810000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      16.0000	      31.0000	      90.0000	     0.810000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      17.0000	      32.0000	      90.0000	     0.810000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      18.0000	      33.0000	      90.0000	     0.810000	      1.00000	      38.4022	    0.0217757	      2.75836	      38.4522	    0.0175968	     0.800356	
      19.0000	      34.0000	      150.000	     0.810000	      1.00000	      38.3522	    0.0198426	     -2.48862	      38.4022	    0.0335998	      2.71453	
      20.0000	      35.0000	      150.000	     0.810000	      1.00000	      38.4022	    0.0295022	      2.15994	      37.6022	    0.0228277	      2.82519	
      21.0000	      36.0000	      150.000	     0.810000	      1.00000	      38.4022	    0.0269834	      2.87276	      37.5522	    0.0213122	     -3.12203	
      22.0000	      37.0000	      150.000	     0.810000	      1.00000	      37.6022	    0.0191597	      1.18290	      38.4022	    0.0319983	      2.06906	
      23.0000	      38.0000	      150.000	     0.810000	      1.00000	      38.4022	    0.0266482	      3.07844	      38.4022	    0.0303715	     -3.06336	
      24.0000	      41.0000	      150.000	     0.810000	      1.00000	      38.4022	    0.0313604	      2.41161	      38.4022	    0.0337228	      2.59620	
      25.0000	      42.0000	      150.000	     0.810000	      1.00000	      38.4522	    0.0334352	      1.47455	      38.4022	    0.0233980	     -2.61990	
      26.0000	      43.0000	      150.000	     0.810000	      1.00000	      37.6022	    0.0195524	      2.89881	      38.4022	    0.0257032	      2.53109	
      27.0000	      44.0000	      150.000	     0.810000	      1.00000	      38.4522	    0.0279482	      1.69507	      38.4522	    0.0316657	     0.620156	
      28.0000	      45.0000	      150.000	     0.810000	      1.00000	      38.4522	   0.00346416	  -0.00346415	      38.4522	    0.0257691	    0.0257634	
      29.0000	      46.0000	      90.0000	     0.810000	      1.00000	      37.6022	    0.0220426	      2.34050	      37.6022	    0.0235244	      2.43989	
      30.0000	      47.0000	      150.000	     0.810000	      1.00000	      37.6022	    0.0153399	   -0.0153387	      37.6022	    0.0179667	   -0.0179647	
      31.0000	      48.0000	      90.0000	     0.810000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      32.0000	      51.0000	      90.0000	     0.810000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      33.0000	      52.0000	      400.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      34.0000	      53.0000	      90.0000	     0.810000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      35.0000	      54.0000	      320.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      36.0000	      55.0000	      524.000	     0.850000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      37.0000	      56.0000	      230.000	     0.810000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      38.0000	      57.0000	      230.000	     0.810000	      1.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	      0.00000	
      39.0000	      58.0000	      90.0000	     0.810000	      1.00000	      37.6022	    0.0201978	      2.60584	      38.4022	    0.0216861	      2.56987	
